Business_Type,Business_Name,Reviewer,Review,Rating
Restaurant,Beyond Flavours,Suneet Soni,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",5
Restaurant,Beyond Flavours,Little Chef Chika,"Beautiful, cozy and classy at the same time, this place is truly recommended for your special days. With 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. Also, the interior is done so well, you ll love the vibe. On the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. Also loved the tomato basil shorba, different from the creamy standards in other restaurants. I'm definitely making more visits to Beyond Flavours. Special mention to Papiya, our hostess for the evening, excellent service :)",5
Restaurant,Beyond Flavours,Sneha Munigela,"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night🤣🤭best in day time for pics",4
Restaurant,Beyond Flavours,Sneha Sarkar,Service was too good and fast. Even these people were so polite and well behaving. Manav and pradeep you were good. Hope everyone behaves the same way,4
Restaurant,Beyond Flavours,Tony,"We had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
Food was perfect desserts, starters was wonderful",5
Restaurant,Beyond Flavours,Amritap Datta,"Excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. We were served by Shubhro and Papiya. They were awesome in their behaviour. Had an enjoyable evening with friends.",5
Restaurant,Beyond Flavours,Imteja7,The place is very good.. 5* to the live music.. She is just superb with beautiful voice.. Food is nice n loved the lightning..😍entrance is also very nice..,5
Restaurant,Beyond Flavours,Nisha Gahlawat,"Sonalin has a great voice.. 😍 must visit the place once.. became fan of her. The food is good.. 5 star from my side. Live music, lightening everything is just awesome 😍",5
Restaurant,Beyond Flavours,Dharini Hombal,I heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings 😍 became fan of Sonalin Priyadarshini. Good place must visit. The food is also nice..,5
Restaurant,Beyond Flavours,Ankita Sinha,Sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. Beautiful live music.. loved it.. 😍 loved the food as well. Very good lightning.,5
Restaurant,Beyond Flavours,Ppck2412,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",4
Restaurant,Beyond Flavours,Pragya Sarda,"Short review: Decent breads and starters, bad Shaam Savera, a little screwed up daal makhni (but should be a one-off case)
Better ambience at night... And importantly good quantity!
I wanted to give a 2.5 but that's not an option 🙈
Extensive...
Ambience: It's better at night. Friends who had been here during the day didn't like it much. So if you prefer ambience, go at night!
Food! Ordered a Hara Bhara Kebab, Shaam Savera, Daal Makhni, rotis and raita (Yes! I'm a vegetarian 🙈)
The good part! Quantity 😍
I was excited to see Shaam Savera on their menu. But take it from me, you do not want to order it. It is no where close to what it should be. They messed it up real bad, especially the colors.
The daal makhni had big chunks of garlic cloves which spoiled it for me. It wasn't creamy too :(
The breads and raita were decent!
The Hara Bhara Kebabs were decent too, soft! They had an extra outer coating of peanuts. So if you're not a peanut fan on your kebabs, ask them to skip that step 🙈
Conclusion: It looked like they had made food in a hurry.
Would like to give this place another try hoping that mine was one of the odd cases. If things change, you'll know!",3
Restaurant,Beyond Flavours,Anindya,"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well.",5
Restaurant,Beyond Flavours,Santhosh Reddyy,My review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. Special hey to papiya shuvro!,5
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,Jeffrey N. Fritz,"As good as the Echo is, the Echo Voice Remote seems to leave much to be desired. Whereas the Echo Dot recognizes my voice immediately and correctly interprets my commands consistently, the Voice Remote is far less likely to do so. Sometimes I'm not even heard at all. I often have to repeat commands several times before the Echo responds to me. Plus the volume control on the remote is slow to respond. And I don't mean a millisecond slow. The volume won't change for several seconds after the button is pushed.Yes, this is the New Generation Voice Remote.Aha! You say. You must be too far away from the Echo Dot.Granted, I am on the other side of the house when I use the Voice Remote. However, that doesn't explain why the shuffle button works immediately and correctly--every time. Plus doesn't Amazon brag on the device's great range If it was a distance problem, wouldn't the shuffle button have the same connectivity issue No, either I have a bad remote or the Voice Remote doesn't work as effectively and effortlessly as the Echo Dot itself. That's too bad.*** UPDATE ***I discovered that there is a trick to being understood when you use the Voice Remote, but it also comes with a gotcha. When you press down and hold the Talk Button on the Voice Remote, it's the equivalent of using the wake word on the Echo itself (Alexa, for example.) Since you can't see the LEDs on the Echo respond to the wake word, the Echo makes a tone to let you know that it's listening. There is a second a different acknowledgement tone after you release the Talk button. The Echo now knows that you have finished with your command or question.Read more",
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,kemilie,"As other reviewers I wish that the remote still came with the handy magnetic base like the first ones did. It does, at least, come with the battery still. Because I know the remote will disappear to a never been seen again realm without a home I have decided to swallow my irritation it doesn't come with a dock and buy one to use with it. From my research it looks like this is the best bet - TotalMount Fire TV Remote Holder. The Fire TV remote appears to be the exact dimensions of the Echo remote, so I'm hopeful this will be a great solution even though it irks me to spend another 10 on a solution for something that used to be included! **Update: I ordered the TotalMount Fire TV Remote holder and it works great with Echo Remote.**We have a few Alexa units in the house and aside from the original one that came with a remote I haven't felt the need to buy another remote. Unless you blast your music it is normally fairly simple to engage with Alexa (at least how we have our rooms setup) even without the remote. However, my 3 and 4 year old have recently become quite the Alexa fanboys - checking the time, asking for jokes, listening to their playlists we've set up.... one of them can articulate clearly and Alexa responds, and the other can not. Before frustration got to a crazy level I decided a remote for the unit they normally talk to was the key.They (and I) love that you don't have to say Alexa *just* right to get a response with the remote. You simply hold down the microphone button and start talking (no wake word needed). Happy campers now. The range is great, the Alexa unit connected with this remote is in the middle of the house upstairs and no problems with using the remote anywhere upstairs (about 2000 square), as well as from two floors down in the crawl space - tested simply to see if it would work, and it did! We use Alexa on a daily basis and the remote is a great tool to go with it.",
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,Jeffrey C Drywater,"The remote seems to function as the previous generation but the lack of a magnetic holster is a major disappointment. Having a place to park the remote was such a fantastic feature. At first, the Echo came with a remote (and holster). Then, I had to buy a remote separately with my second Echo, but it still came with the holster. Now, I have to buy the remotes for another Echo and a Dot and they don't have the holsters. Rather than raising the price or at least offering a choice, I feel like the quality is being stripped down with each new generation. I still like the Echoes okay, they fill a need, but I am worried about Amazon's choices in slowly cutting away the extras.",
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,T. Masoner,"I got this great little remote and then spent half a day trying to get it to work properly. I was about to box it up and send it back because it only understood what I was saying about 10 of the time. I thought it was defective. Then I actually read the instructions that came in the box with it and you have to HOLD the button down while you speak. It's not a push then talk type affair like I expected. Once I got that figured out, it works great. Glad I bought it because I use it quite a bit from the bedroom. This will hold me over until my Dot is shipped. FYI, it doesn't come with the cradle any more, at least mine didn't.",
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,Shain Mercer,Worked great for a few weeks then completely stopped working. Don't have the box now so can't return it.,
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,cc,"So far, this is doing what I wanted it to. I purchased it for having Alex hear me from my bedroom and my dining room. At times when I am playing music louder or just wanting her to do a command, I have to repeat myself louder. I usually keep the remote in the bedroom to give her commands but I will move it when I have company and am sitting down to eat or with guests in living room. I can practically whisper the command using the remote whereas without it, I have to shout the command out to the other room. Also, did not find opening the back to insert batteries that difficult. Did take a few tries to pair it. I ended up replacing the batteries that were sent with Duracell",
Amazon,Alexa Voice Remote for Amazon Echo and Echo Dot,BFI66,Remote is a great addition......I Have two echo's and two dots which I use for my home automation. They work great. My only issue is that Amazon is no longer shipping the magnetic holder with the Echo. Felt this was a very helpful and welcomed addition which helped me organize my remotes safely. This is the only reason I am giving it 3 stars.....C'mon Amazon you are charging the same price as the older remotes labelling it new generation and eliminating the magnetic holder......disappointing,
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Gregory P. Baker,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installation of games and apps goes very smoothly and generally pretty quickly.The remote works very well. I haven't played with the voice search feature much yet, but when I have tried it, it worked well. The buttons on the remote are well thought out and I prefer it to the Apple TV remote.I only have one gripe. As far as I can tell, there's no way to limit the list of movies and tv shows to what is available for Amazon Prime members. This makes it very inconvenient to find things that are free to watch. There are some categories that are limited to Prime (Most Popular on Prime, For Kids on Prime) I want to be able to just see what's available for Prime or at least be able to see by category what's available for Prime. I'm sure this isn't an oversight. I suspect Amazon wants to force us to look at everything and be tempted to buy/rent things but if they really want to compete with Netflix, they'll understand that we pay for our Prime membership to be able to watch free movies conveniently. A workaround is to do your searching on the web and then search specifically on the device.Perhaps I just haven't found the way to search for Prime available content. I hope that's the case or I will really be disappointed.Read more",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,William Hardin,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks a lot in features as well and is slow. The reason for selecting Apple TV is if you have other apple products that unlock features (like Amazon's content).The second option you could consider was Roku--which really means a Roku 3 box since it is heads and tails better than past Roku boxes in terms of remote and speed. Now Roku stands out with the most content and the most features of any box with the Roku 3. It is for that reason you will see me address the Roku 3 so often in this review.I have added quick summaries of other options to make sure everyone knows about the other options out there.WDTV: Are great for streaming your own content but not very user friendly.Chromecast: Is very cheap at 35 but requires other items to use (no remote included!), is limited to 16 channels according to their own site with other content broadcast via Chrome's browser not at the same quality level. This does allow you to browse the internet on your tv and is amazing for the cost but is more of a niche market than FireTV/Roku/Apple TV. But if you can live with the short comings, it is worth a look at 1/3 the price of these devices.Smart TVs: Most of these are FINE for occasional use but not nearly as pleasant to use daily like separate boxes.Read more",
Amazon,Amazon Fire TV,Gregory P. Baker,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installation of games and apps goes very smoothly and generally pretty quickly.The remote works very well. I haven't played with the voice search feature much yet, but when I have tried it, it worked well. The buttons on the remote are well thought out and I prefer it to the Apple TV remote.I only have one gripe. As far as I can tell, there's no way to limit the list of movies and tv shows to what is available for Amazon Prime members. This makes it very inconvenient to find things that are free to watch. There are some categories that are limited to Prime (Most Popular on Prime, For Kids on Prime) I want to be able to just see what's available for Prime or at least be able to see by category what's available for Prime. I'm sure this isn't an oversight. I suspect Amazon wants to force us to look at everything and be tempted to buy/rent things but if they really want to compete with Netflix, they'll understand that we pay for our Prime membership to be able to watch free movies conveniently. A workaround is to do your searching on the web and then search specifically on the device.Perhaps I just haven't found the way to search for Prime available content. I hope that's the case or I will really be disappointed.Read more",
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,William Hardin,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks a lot in features as well and is slow. The reason for selecting Apple TV is if you have other apple products that unlock features (like Amazon's content).The second option you could consider was Roku--which really means a Roku 3 box since it is heads and tails better than past Roku boxes in terms of remote and speed. Now Roku stands out with the most content and the most features of any box with the Roku 3. It is for that reason you will see me address the Roku 3 so often in this review.I have added quick summaries of other options to make sure everyone knows about the other options out there.WDTV: Are great for streaming your own content but not very user friendly.Chromecast: Is very cheap at 35 but requires other items to use (no remote included!), is limited to 16 channels according to their own site with other content broadcast via Chrome's browser not at the same quality level. This does allow you to browse the internet on your tv and is amazing for the cost but is more of a niche market than FireTV/Roku/Apple TV. But if you can live with the short comings, it is worth a look at 1/3 the price of these devices.Smart TVs: Most of these are FINE for occasional use but not nearly as pleasant to use daily like separate boxes.Read more",
Amazon,Amazon Fire TV,Gregory P. Baker,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installation of games and apps goes very smoothly and generally pretty quickly.The remote works very well. I haven't played with the voice search feature much yet, but when I have tried it, it worked well. The buttons on the remote are well thought out and I prefer it to the Apple TV remote.I only have one gripe. As far as I can tell, there's no way to limit the list of movies and tv shows to what is available for Amazon Prime members. This makes it very inconvenient to find things that are free to watch. There are some categories that are limited to Prime (Most Popular on Prime, For Kids on Prime) I want to be able to just see what's available for Prime or at least be able to see by category what's available for Prime. I'm sure this isn't an oversight. I suspect Amazon wants to force us to look at everything and be tempted to buy/rent things but if they really want to compete with Netflix, they'll understand that we pay for our Prime membership to be able to watch free movies conveniently. A workaround is to do your searching on the web and then search specifically on the device.Perhaps I just haven't found the way to search for Prime available content. I hope that's the case or I will really be disappointed.Read more",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Dallas,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",
Amazon,Amazon Fire TV,William Hardin,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks a lot in features as well and is slow. The reason for selecting Apple TV is if you have other apple products that unlock features (like Amazon's content).The second option you could consider was Roku--which really means a Roku 3 box since it is heads and tails better than past Roku boxes in terms of remote and speed. Now Roku stands out with the most content and the most features of any box with the Roku 3. It is for that reason you will see me address the Roku 3 so often in this review.I have added quick summaries of other options to make sure everyone knows about the other options out there.WDTV: Are great for streaming your own content but not very user friendly.Chromecast: Is very cheap at 35 but requires other items to use (no remote included!), is limited to 16 channels according to their own site with other content broadcast via Chrome's browser not at the same quality level. This does allow you to browse the internet on your tv and is amazing for the cost but is more of a niche market than FireTV/Roku/Apple TV. But if you can live with the short comings, it is worth a look at 1/3 the price of these devices.Smart TVs: Most of these are FINE for occasional use but not nearly as pleasant to use daily like separate boxes.Read more",
Amazon,Amazon Fire TV,William Hardin,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks a lot in features as well and is slow. The reason for selecting Apple TV is if you have other apple products that unlock features (like Amazon's content).The second option you could consider was Roku--which really means a Roku 3 box since it is heads and tails better than past Roku boxes in terms of remote and speed. Now Roku stands out with the most content and the most features of any box with the Roku 3. It is for that reason you will see me address the Roku 3 so often in this review.I have added quick summaries of other options to make sure everyone knows about the other options out there.WDTV: Are great for streaming your own content but not very user friendly.Chromecast: Is very cheap at 35 but requires other items to use (no remote included!), is limited to 16 channels according to their own site with other content broadcast via Chrome's browser not at the same quality level. This does allow you to browse the internet on your tv and is amazing for the cost but is more of a niche market than FireTV/Roku/Apple TV. But if you can live with the short comings, it is worth a look at 1/3 the price of these devices.Smart TVs: Most of these are FINE for occasional use but not nearly as pleasant to use daily like separate boxes.Read more",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
Amazon,Amazon Fire TV,Mandy,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",
